recnum,filial,pedido,fornecedor,nota_fiscal,modelo,serie,serie_nf,comprador,dt_emissao,dt_entrada,transacao,operacao,centro_custo,cnpj,inscricao,frete_pg,vr_produtos,vr_total,vr_frete,icmsfrete,ipifrete,vr_icmsfrete,vr_ipifrete,vr_descontos,vr_despesas,vr_encargos,vr_ipi,vr_baseicms,vr_icms,vr_basesubst,vr_icmsubst,vr_seguro,vr_embalagem,icmsembalagem,ipiembalagem,vr_icmsembal,vr_ipiembal,vr_descarga,vr_servico,vr_baseiss,vr_iss,fatura,itens,conta_caixa,banco,transportadora,conhecimento,dt_emissaof,dt_vencimentof,vr_fretef,vr_icmsf,vr_freteratear,vr_baseicmsf,vr_icmsfratear,cfop_fratear,vr_dinheiro,vr_prazo,vr_cheque,vr_chequepre,vr_cartao,vr_electron,vr_outros,vr_antecipado,sequencia,observacao,foto,impresso,fechado,compensar_chq,digitar_serial,status_fornec,status_transp,tmp_vrtotal,data_inc,data_alt,data_exc,hora_inc,hora_alt,hora_exc,usu_inc,usu_alt,usu_exc,maq_inc,maq_alt,maq_exc,envia_pocket,dtexportacao,xml_nfe,desc_condic,modelo_ctrc,serie_ctrc,chave_nfe,vr_pis_st,vr_cofins_st,chave_cte,tp_cte,vr_servico_ct,vr_desconto_ct,vr_outros_ct,vr_isento_ct,aliq_icms_ct,vr_pis,vr_cofins,cst_ct,vr_redicms_ct,id_cadcon,vr_recsubst,digita_lote,vr_deson,portador,situacao_doc,status_conferencia,id,regime_trib,recnum_2,filial_2,pedido_2,fornecedor_2,nota_fiscal_2,modelo_2,serie_2,item,sequencia_2,operacao_2,matricula,qtd_entrada,qtd_transferida,qtd_compra,und_compra,vr_base,vr_entrada,vr_desconto,vr_total_2,vr_custo,vr_custozero,markup,lucro,vr_venda,icms,ipi,substituicao,reducao,cst,dt_entrada_2,utiliza_serial,fechado_2,desp_ipi,desp_frete,desp_encargos,desp_subst,desp_ipifrete,desp_icmsfrete,desp_desconto,desp_embalagem,desp_icmsembal,desp_ipiembal,desp_iss,cfop,data_inc_2,data_alt_2,data_exc_2,hora_inc_2,hora_alt_2,hora_exc_2,usu_inc_2,usu_alt_2,usu_exc_2,maq_inc_2,maq_alt_2,maq_exc_2,envia_pocket_2,dtexportacao_2,cst_ipi,ipi_unidade,vr_baseipi,cst_pis,vr_basepis,vr_basecofins,aliq_pis,aliq_cofins,vr_pis_2,vr_cofins_2,icms_padrao_uf,vr_baseicms_2,vr_icms_2,vr_basesubst_2,vr_icmsseguro,vr_icmsfrete_2,desp_pis_st,desp_cofins_st,vr_reducaoicms,desc_condic_2,usa_baseicms,nat_bc_pis,xml_nfe_2,limite_desca,limite_descv,vr_minimoa,vr_minimov,desp_recsubst,al_cred_antec,vr_cred_antec,desp_deson,temp_qtentrega,ultimo_conferido,id_2,vr_custozeroa,lucroa,markupa,vr_vendaa,qtd_tributavel,adrem_icms,vricms_monofasico,qtd_tributavelretencao,adrem_icmsretencao,vricms_monoretencao,recnum_3,matricula_2,tipo,fornecedor_3,marca,grupo,cod_remarcacao,descricao,desc_fabrica,referencia,unidade,grade_padrao,codigo_fiscal,codigo_barra,status,peso,unidade_compra,ipi_compra,subst_compra,icms_compra,cst_compra,editar,aplicacao,observacao_2,imprime_codbar,imprime_etiq,imprime_tabela,desconto_ok,utiliza_balanca,suspensa,custo_adicional,foto_2,tmp_codbarra,cod_enq_ipi,data_inc_3,hora_inc_3,usu_inc_3,maq_inc_3,data_alt_3,hora_alt_3,usu_alt_3,maq_alt_3,envia_pocket_3,dtexportacao_3,sped_1400,tipo_item,codigo_ex_tipi,ipi_unid_compra,reducao_compra,validade,codigo_anp,composicao,ativ_cont_prev,compos_prod,pais_origem,largura,rendimento,imagens,al_tributos,ippt,codigo_fci,unidade_entrega,codigo_imp,desc_adicional,codigo_cest,mva_padrao,usa_lote,altura,comprimento,cta_contabil,calcula_fem,calcula_fcp,perc_glp,perc_gnimp,perc_gnnac,vr_partida,id_edicao,calcular_fcp_st,codigo_anvisa,motivo_isencao,ean_tributavel,qtd_embalagem
19044,1,6054,177,1411286,55,,1,1,2024-10-04,2024-10-14,1,19,1,N, ,2,11525.00,1400.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1411286,1006,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,,,S,S,N,N,N,N,11525.00,2024-10-14,0001-01-01,0001-01-01,09:21,09:41, ,1,0,0,SRV-MERCBARBOSA,, ,S,2024-10-14 09:50:35.706,S,N, , ,35241021362359000189550010014112861183711431,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7212,0.00, ,0.0000,2,00,N,0b99efa9-c3d0-4776-99de-3a3c02d3c4c0,3,,,,,,,,1005,,,18993,40.0000,0.0000,40.0000,UN,35.000000,35.000000,0.000000,,35.0000,35.0000,-100.0000,0.00,0.0000,0.00,0.00,0.0000,0.0000,041,,N,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5560,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,0.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,35.0000,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,ESTEIRAS PAO FRANCES 5 TELAS 58X70,ESTEIRAS PAO FRANCES 5 TELAS 58X70,AI0015,UN,,73269090,,N,0.0000,UN,0.00,0.0000,0.00,041,N,,,S,S,S,S,N,N,N,,,,,,,,,,,,,,N,00,,0.00,0.00,0,0,1,,,0,0.00,0.0000,,0.00,,,,,,,0.00,N,0.00,0.00,0,N,,0.0000,0.0000,0.0000,0.00,"14/10/2024 09:41:22,",N,,0,,0.0000
19044,1,6054,177,1411286,55,,1,1,2024-10-04,2024-10-14,1,19,1,N, ,2,11525.00,1400.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1411286,1006,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,,,S,S,N,N,N,N,11525.00,2024-10-14,0001-01-01,0001-01-01,09:21,09:41, ,1,0,0,SRV-MERCBARBOSA,, ,S,2024-10-14 09:50:35.706,S,N, , ,35241021362359000189550010014112861183711431,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7211,0.00, ,0.0000,2,00,N,0b99efa9-c3d0-4776-99de-3a3c02d3c4c0,3,,,,,,,,1005,,,18993,40.0000,0.0000,40.0000,UN,35.000000,35.000000,0.000000,,35.0000,35.0000,-100.0000,0.00,0.0000,0.00,0.00,0.0000,0.0000,041,,N,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5560,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,0.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,35.0000,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,ESTEIRAS PAO FRANCES 5 TELAS 58X70,ESTEIRAS PAO FRANCES 5 TELAS 58X70,AI0015,UN,,73269090,,N,0.0000,UN,0.00,0.0000,0.00,041,N,,,S,S,S,S,N,N,N,,,,,,,,,,,,,,N,00,,0.00,0.00,0,0,1,,,0,0.00,0.0000,,0.00,,,,,,,0.00,N,0.00,0.00,0,N,,0.0000,0.0000,0.0000,0.00,"14/10/2024 09:41:22,",N,,0,,0.0000
9937,1,6030,86,4805770,55,,0,1,2024-10-01,2024-10-02,1,2,1,N, ,2,1552.07,65.6900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.05,4.60,86.30,115.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4805770,1031,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,1667.78,0.00,0.00,0.00,0.00,0.00,0.00,1,, ,S,S,N,N,N,N,1552.07,2017-10-31,0001-01-01,0001-01-01,07:00,10:36, ,999999,0,0,MIGRACAO, , ,S,2024-11-06 10:53:31.570,S,N, , ,32241005997742000408550000048057701048314044,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7171,0.00, ,0.0000,2,00,N,3bb490cc-18ce-4af9-b571-2676351c0bf5,3,,,,,,,,1001,,,9907,12.0000,0.0000,12.0000,UN,5.474166,5.474166,0.000000,,6.3134,6.3130,56.8090,36.23,9.9000,17.00,0.00,31.3700,7.0000,570,,N,,0.0000,0.0000,0.0000,10.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4030,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,17.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,6.3130,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,ABS INTIMUS GEL NOTURNO SC C/ABAS 8UN, , ,UN, ,96190000,7896007542437,N,0.0000,UN,0.00,31.3700,17.00,570,N, ,,S,S,S,S,N,N,N,,, ,,,,,,,,,,,N,00, ,0.00,7.00,0,0,1, , ,0,0.00,0.0000, ,0.00, ,3FA85BB3-0CC6-4797-8E5E-E4D0DF889749, , , ,2005000,0.00,N,0.00,0.00,0,N,N,0.0000,0.0000,0.0000,0.00,"06/11/2024 10:36:08,",N, ,0, ,0.0000
1559,1,6030,86,4805770,55,,0,1,2024-10-01,2024-10-02,1,2,1,N, ,2,1552.07,65.6900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.05,4.60,86.30,115.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4805770,1031,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,1667.78,0.00,0.00,0.00,0.00,0.00,0.00,2,, ,S,S,N,N,N,N,1552.07,2017-10-31,0001-01-01,0001-01-01,07:00,10:36, ,999999,0,0,MIGRACAO, , ,S,2024-11-06 10:53:31.644,S,N, , ,32241005997742000408550000048057701048314044,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7171,0.00, ,0.0000,2,00,N,32b6378e-363c-4430-a229-54f937cf1ae7,3,,,,,,,,1002,,,1556,12.0000,0.0000,12.0000,UN,5.474166,5.474166,0.000000,,6.3134,6.3130,56.8090,36.23,9.9000,17.00,0.00,31.3700,7.0000,570,,N,,0.0000,0.0000,0.0000,10.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4030,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,17.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,6.3130,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,ABS INT GEL NOTURNO SV ABAS 8UN, ,,UN, ,96190000,7896007540662,N,0.0000,UN,0.00,31.3700,17.00,570,N, ,,S,S,S,S,N,N,N,,, ,,,,,,,,,,,N,00, ,0.00,7.00,0,0,1, , ,0,0.00,0.0000, ,0.00, ,4F3E5EBC-B482-4D76-BCC0-593B58CD124B, , , ,2005000,0.00,N,0.00,0.00,0,N,N,0.0000,0.0000,0.0000,0.00,"06/11/2024 10:36:08,",N, ,0, ,0.0000
10219,1,6030,86,4805770,55,,0,1,2024-10-01,2024-10-02,1,2,1,N, ,2,1552.07,31.4100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.93,2.20,41.26,115.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4805770,1031,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,1667.78,0.00,0.00,0.00,0.00,0.00,0.00,3,, ,S,S,N,N,N,N,1552.07,2017-10-31,0001-01-01,0001-01-01,07:00,10:28, ,999999,0,0,MIGRACAO, , ,S,2024-10-02 10:33:41.937,S,N, , ,32241005997742000408550000048057701048314044,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7171,0.00, ,0.0000,2,00,N,809e712f-a6e8-4149-8f54-9c57f189807b,3,,,,,,,,1003,,,10186,8.0000,0.0000,8.0000,UN,3.926250,3.926250,0.000000,,4.5288,4.5290,52.3580,34.36,6.9000,17.00,0.00,31.3700,7.0000,570,,N,,0.0000,0.0000,0.0000,4.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4030,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,17.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,4.5290,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,0002,0,ABS SYM PROTETOR DIARIO C/FRAGANCIA 15UN, , ,UN, ,96190000,7896110007502,N,0.0000,UN,0.00,31.3700,17.00,570,N, ,,S,S,S,S,N,N,N,,, ,,,,,,,,,,,N,00, ,0.00,7.00,0,0,1, , ,0,0.00,0.0000, ,0.00, ,2106822E-0C99-473C-A996-508BB10E9820, , , ,2005000,0.00,N,0.00,0.00,0,N,N,0.0000,0.0000,0.0000,0.00,"02/10/2024 10:28:27,",N, ,0, ,0.0000
13873,1,6030,86,4805770,55,,0,1,2024-10-01,2024-10-02,1,2,1,N, ,2,1552.07,71.7000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.53,5.02,0.00,115.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4805770,1031,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,1667.78,0.00,0.00,0.00,0.00,0.00,0.00,30,, ,S,S,N,N,N,N,1552.07,2020-03-23,0001-01-01,0001-01-01,15:10,10:27, ,1,0,0,SERVIDOR, , ,S,2024-10-02 10:33:43.010,S,N, , ,32241005997742000408550000048057701048314044,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7171,0.00, ,0.0000,2,00,N,cdf15d74-7c47-41f1-ac8f-cc930dfeb3af,3,,,,,,,,1030,,,13884,12.0000,0.0000,12.0000,UN,5.975000,5.975000,0.000000,,5.9750,5.9750,65.6900,39.65,9.9000,17.00,0.00,0.0000,7.0000,520,,N,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1020,,,,,,,,,,,,,,,49,0.00,0.00,98,0.00,0.00,0.0000,0.0000,,,0.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,5.9750,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,TOALHA UMED PERSONAL 50UN L4P3PCT,TOALHA UMED PERSONAL 50UN L4P3PCT,000000000000107482,UN, ,34011190,7896110009643,N,0.0000,UN,0.00,0.0000,17.00,520,N, ,,S,S,S,S,N,N,N,,, ,,,,,,,,,,,N,00, ,0.00,7.00,0,0,1, , ,0,0.00,0.0000, ,0.00, ,, , , ,2003401,0.00,N,0.00,0.00,0,N, ,0.0000,0.0000,0.0000,0.00,"02/10/2024 10:27:40,",N, ,0, ,0.0000
19045,1,6054,177,1411286,55,,1,1,2024-10-04,2024-10-14,1,19,1,N, ,2,11525.00,125.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1411286,1006,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,,,S,S,N,N,N,N,11525.00,2024-10-14,0001-01-01,0001-01-01,09:21,09:41, ,1,0,0,SRV-MERCBARBOSA,, ,S,2024-10-14 09:50:35.742,S,N, , ,35241021362359000189550010014112861183711431,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7212,0.00, ,0.0000,2,00,N,7f55eb97-0970-44b0-b21b-215a3779550b,3,,,,,,,,1006,,,18994,5.0000,0.0000,5.0000,UN,25.000000,25.000000,0.000000,,25.0000,25.0000,-100.0000,0.00,0.0000,0.00,0.00,0.0000,0.0000,041,,N,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5560,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,0.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,25.0000,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,ASSADEIRA 58X70 ALUMINIO,ASSADEIRA 58X70 ALUMINIO,AI0016,UN,,73269090,,N,0.0000,UN,0.00,0.0000,0.00,041,N,,,S,S,S,S,N,N,N,,,,,,,,,,,,,,N,00,,0.00,0.00,0,0,1,,,0,0.00,0.0000,,0.00,,,,,,,0.00,N,0.00,0.00,0,N,,0.0000,0.0000,0.0000,0.00,"14/10/2024 09:41:22,",N,,0,,0.0000
19045,1,6054,177,1411286,55,,1,1,2024-10-04,2024-10-14,1,19,1,N, ,2,11525.00,125.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1411286,1006,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,,,S,S,N,N,N,N,11525.00,2024-10-14,0001-01-01,0001-01-01,09:21,09:41, ,1,0,0,SRV-MERCBARBOSA,, ,S,2024-10-14 09:50:35.742,S,N, , ,35241021362359000189550010014112861183711431,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7211,0.00, ,0.0000,2,00,N,7f55eb97-0970-44b0-b21b-215a3779550b,3,,,,,,,,1006,,,18994,5.0000,0.0000,5.0000,UN,25.000000,25.000000,0.000000,,25.0000,25.0000,-100.0000,0.00,0.0000,0.00,0.00,0.0000,0.0000,041,,N,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5560,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,0.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,25.0000,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,ASSADEIRA 58X70 ALUMINIO,ASSADEIRA 58X70 ALUMINIO,AI0016,UN,,73269090,,N,0.0000,UN,0.00,0.0000,0.00,041,N,,,S,S,S,S,N,N,N,,,,,,,,,,,,,,N,00,,0.00,0.00,0,0,1,,,0,0.00,0.0000,,0.00,,,,,,,0.00,N,0.00,0.00,0,N,,0.0000,0.0000,0.0000,0.00,"14/10/2024 09:41:22,",N,,0,,0.0000
3659,1,6033,44,2016935,55,,8,1,2024-10-02,2024-10-03,1,2,1,N, ,2,3278.23,96.2400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.63,6.74,45.57,34.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016935,1009,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,3312.65,0.00,0.00,0.00,0.00,0.00,0.00,1,, ,D,S,N,N,N,N,3278.22,2017-10-31,2021-04-01,0001-01-01,07:00,09:34, ,999999,1,0,MIGRACAO,DESKTOP-VUTA7M7, ,S,2024-10-31 09:39:00.764,S,N, , ,32241027497684000135550080020169351100878605,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7175,0.00, ,0.0000,2,00,N,f392a69f-2dec-41fd-ae29-8bd33e1f4f5f,3,,,,,,,,1001,,,3652,12.0000,0.0000,12.0000,KG,8.020000,8.020000,0.000000,,8.1042,8.1040,59.1760,37.18,12.9000,17.00,0.00,15.0000,7.0000,070,,N,,0.0000,0.0000,0.0000,1.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4030,,,,,,,,,,,,,,,49,0.00,0.00,99,0.00,0.00,0.0000,0.0000,,,17.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,8.1040,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,0001,0,MORTADELA FRISA TUBULAR, , ,KG, ,16010000,7896481955563,N,0.0000,KG,0.00,15.0000,17.00,070,N, ,,S,S,S,S,S,N,N,,, ,,,,,,,,,,,N,00, ,0.00,7.00,0,0,1, , ,0,0.00,0.0000, ,0.00, , , , , ,1707800,0.00,N,0.00,0.00,0,N,N,0.0000,0.0000,0.0000,0.00,"31/10/2024 09:34:41,",N, ,0, ,0.0000
18098,1,6033,44,2016935,55,,8,1,2024-10-02,2024-10-03,1,2,1,N, ,2,3278.23,104.0200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.83,7.28,49.26,34.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016935,1009,58,100000,0,0,0001-01-01,0001-01-01,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,3312.65,0.00,0.00,0.00,0.00,0.00,0.00,2,,,D,S,N,N,N,N,3278.22,2024-01-11,0001-01-01,0001-01-01,13:17,09:36,0,1,0,0,SRV-MERCBARBOSA,, ,S,2024-10-31 09:39:00.683,S,N, , ,32241027497684000135550080020169351100878605,0.00,0.00, ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,7175,0.00, ,0.0000,2,00,N,e864ed8b-81ca-4a00-9117-686505ce45b6,3,,,,,,,,1002,,,18077,5.0000,0.0000,5.0000,UN,20.804000,20.804000,0.000000,,21.0220,21.0220,51.7450,34.10,31.9000,17.00,0.00,15.0000,7.0000,070,,N,,0.0000,0.0000,0.0000,1.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4030,,,,,,,,,,,,,,,0,0.00,0.00,99,104.02,104.02,0.0000,0.0000,,,17.00,,,,,,,,,,,,,,,,,,,0.00,0.0000,,N,,15.6420,0.00,-100.0000,0.0000,0.0000,0.0000,0.00,0.0000,0.0000,0.00,,,1,,999999,9999999,0,"MOLDADO M 56GX24 ITFL FRISA 1,344KG","MOLDADO M 56GX24 ITFL FRISA 1,344KG",152465,UN,,16023230,7896481920172,N,0.0000,UN,0.00,15.0000,17.00,070,N,,,S,S,S,S,N,N,N,,,,,,,,,,,,,,N,00,,0.00,7.00,0,0,1,,,0,0.00,0.0000,,0.00,,,,,,1707900,0.00,N,0.00,0.00,0,N,,0.0000,0.0000,0.0000,0.00,"31/10/2024 09:36:21,",N, ,0, ,0.0000
